,Name,Party,Position,Score,State,Tenure,YOB
227,"Lampson, Nicholas V.",D,Rep,-1399976600000.0,TX,5,1945
228,"Lantos, Thomas Peter",D,Rep,-2439975100000.0,CA,6,1928
229,"Largent, Steve",R,Rep,-1375854200000.0,OK,3,1954
230,"Latham, Thomas",R,Rep,-2780731600000.0,IA,9,1948
231,"Latourette, Steven C.",R,Rep,0.0,OH,8,1954
232,"Lazio, Enrico A. (Rick)",R,Rep,-259192200000.0,NY,2,1958
233,"Leach, James Albert Smith",R,Rep,-2533460600000.0,IA,5,1942
234,"Lee, Barbara",D,Rep,-986662900000.0,CA,11,1946
235,"Levin, Sander Martin",D,Rep,-2527372100000.0,MI,11,1931
236,"Lewis, Charles Jeremy (Jerry)",R,Rep,-2714151600000.0,CA,8,1934
237,"Lewis, John R.",D,Rep,-2019487500000.0,GA,11,1940
238,"Lewis, Ron",R,Rep,-2748318600000.0,KY,6,1946
239,"Linder, John Elmer",R,Rep,-1682205100000.0,GA,7,1942
240,"Lipinski, William Oliver",D,Rep,-277092600000.0,IL,4,1937
241,"Livingston, Robert Linlithgow, Jr.",R,Rep,-229250200000.0,LA,2,1943
242,"Lobiondo, Frank A.",R,Rep,0.0,NJ,11,1946
243,"Lofgren, Zoe",D,Rep,-326876600000.0,CA,11,1947
244,"Lowey, Nita M.",D,Rep,-2524886500000.0,NY,11,1937
245,"Lucas, Frank D.",R,Rep,-2779820100000.0,OK,11,1960
246,"Luther, William Paul",D,Rep,-1330762100000.0,MN,3,1945
247,"Maloney, Carolyn Bosher",D,Rep,-1495472100000.0,NY,11,1946
248,"Maloney, James H.",D,Rep,-298838100000.0,CT,3,1948
249,"Manton, Thomas J.",D,Rep,-228775700000.0,NY,1,1932
250,"Manzullo, Donald A.",R,Rep,-2745899600000.0,IL,8,1944
251,"Markey, Edward John",D,Rep,-1448669600000.0,MA,9,1946
252,"Martínez, Matthew G.",D,Rep,0.0,CA,2,1929
253,"Mascara, Frank R.",D,Rep,-1343738100000.0,PA,3,1930
254,"Matsui, Robert T.",D,Rep,-1347596900000.0,CA,4,1941
255,"Mccarthy, Carolyn",D,Rep,0.0,NY,9,1944
256,"Mccarthy, Karen",D,Rep,0.0,MO,4,1947
257,"Mccollum, Ira William, Jr. (Bill)",R,Rep,0.0,FL,2,1944
258,"Mccrery, James O., III",R,Rep,0.0,LA,6,1949
259,"Mcdade, Joseph Michael",R,Rep,0.0,PA,1,1931
260,"Mcdermott, James A.",D,Rep,0.0,WA,10,1936
261,"Mcgovern, James P.",D,Rep,0.0,MA,11,1959
262,"Mchale, Paul F., Jr.",D,Rep,0.0,PA,1,1950
263,"Mchugh, John Michael",R,Rep,0.0,NY,7,1948
264,"Mcinnis, Scott",R,Rep,0.0,CO,4,1953
265,"Mcintosh, David Martin",R,Rep,0.0,IN,2,1958
266,"Mcintyre, Mike",D,Rep,0.0,NC,9,1956
267,"Mckeon, Howard P. (Buck)",R,Rep,0.0,CA,9,1938
268,"Mckinney, Cynthia Ann",D,Rep,0.0,GA,4,1955
269,"Mcnulty, Michael Robert",D,Rep,0.0,NY,6,1947
270,"Meehan, Martin Thomas",D,Rep,-1339424500000.0,MA,6,1956
271,"Meek, Carrie P.",D,Rep,-1347080100000.0,FL,3,1926
272,"Meeks, Gregory W.",D,Rep,-2489133400000.0,NY,11,1953
273,"Menendez, Robert",D,Rep,-1422716100000.0,NJ,5,1954
274,"Metcalf, Jack",R,Rep,-266456200000.0,WA,2,1927
275,"Mica, John L.",R,Rep,-1746601600000.0,FL,10,1943
276,"Millender-mcdonald, Juanita",D,Rep,0.0,CA,6,1938
277,"Miller, Daniel",R,Rep,-304981700000.0,FL,3,1942
278,"Miller, George",D,Rep,-228775700000.0,CA,9,1945
279,"Minge, David R.",D,Rep,-247523700000.0,MN,2,1942
280,"Mink, Patsy Takemoto",D,Rep,-1337089300000.0,HI,3,1927
281,"Moakley, John Joseph",D,Rep,-20956700000.0,MA,3,1927
282,"Molinari, Susan",R,Rep,-228700000.0,NY,1,1958
283,"Mollohan, Alan Bowlby",D,Rep,-1487848900000.0,WV,7,1943
284,"Moran, James P.",D,Rep,-1484582300000.0,VA,9,1945
285,"Moran, Jerry",R,Rep,-2520912100000.0,KS,7,1954
286,"Morella, Constance A.",R,Rep,-316854600000.0,MD,3,1931
287,"Murtha, John Patrick, Jr.",D,Rep,-1198910100000.0,PA,7,1932
288,"Myrick, Sue",R,Rep,-1679042600000.0,NC,8,1941
289,"Nadler, Jerrold Lewis",D,Rep,-1463741100000.0,NY,11,1947
290,"Neal, Richard Edmund",D,Rep,-1485875100000.0,MA,11,1949
291,"Nethercutt, George R., Jr.",R,Rep,-1443300100000.0,WA,4,1944
292,"Neumann, Mark W.",R,Rep,-224040500000.0,WI,1,1954
293,"Ney, Robert William",R,Rep,-2687937600000.0,OH,5,1954
294,"Northup, Anne Meagher",R,Rep,-1169819800000.0,KY,5,1948
295,"Norton, Eleanor Holmes",D,Rep,0.0,DC,11,1937
296,"Norwood, Charles W., Jr.",R,Rep,-2684854600000.0,GA,6,1941
297,"Nussle, James Allen",R,Rep,-2692439600000.0,IA,5,1960
298,"Oberstar, James Louis",D,Rep,-991466600000.0,MN,7,1934
299,"Obey, David Ross",D,Rep,-1413958600000.0,WI,7,1938
300,"Olver, John Walter",D,Rep,-973312600000.0,MA,8,1936
301,"Ortiz, Solomon P.",D,Rep,-2512310600000.0,TX,7,1937
302,"Owens, Major Robert Odell",D,Rep,-924653600000.0,NY,5,1936
